Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bermuda,BMU,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83206171,16.71147235,18.64042013,21.2408251,21.58921114,21.65273253,,,,,,,,,,,,,,,,
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.99643707,29.10080306,29.66605027,28.65112223,27.37151454,29.2514316,29.67010526,27.82472985,28.58288523,29.1518761,25.6990311,27.32688783,29.61603613,
Barbados,BRB,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32868048,28.61808681,27.97996883,26.33359417,27.04766512,27.29352806,27.94132913,26.54590286,27.69366228,25.88832251,24.64518688,24.82881928,26.58080567,29.52736466,,,,,,,
Brunei Darussalam,BRN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,10.26674533,,15.05355479,13.10109483,14.03737379,,21.94429868,19.04345127,17.7252064,17.8668258,17.8096704,21.04871538,19.23224106,19.01531921,19.03779397,18.43307495,20.43072375,20.76834066,21.80082272,20.92987458,18.54924957,15.62848352,15.01677398,15.98731142,16.15884338,19.41707752,21.53913247,21.80036569,20.35076073,19.21401244,19.57870076,18.77702826,18.46884363,18.24699963,17.47688122,17.65164052,21.74787974,18.8336305,20.02848315,,,
Botswana,BWA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.78817699,49.65028385,51.16885195,50.05007289,37.90687912,40.90451572,44.83986869,,,,,,,,,,46.5426472,43.09707781,40.57581731,40.26391923,36.70145238,36.62737125,38.6639086,40.50852783,39.94171187,35.32039,34.77393997,33.58084839,30.70783065,30.12897434,28.76564534,32.86424871,29.45606667,
Central African Republic,CAF,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.314400605,,,,9.394041269,9.110476263,9.207420981,8.625289336,9.554073472,,4.581282071,5.663160089,7.300229998,7.198194551,8.817987764,8.792084399,9.512235967,9.204779248,,
Canada,CAN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.43419492,18.07821048,18.23447043,17.36754672,16.77369907,17.00365912,17.41685023,18.35978807,18.22805859,18.0584314,18.17871134,17.3043201,16.23884653,15.94184302,15.62508422,15.49945026,15.47307383,15.5320538,14.48450249,14.33966299,13.74787971,13.80227196,13.67421827,13.70409447,13.75103577,14.40006792,14.42682,14.54255992,15.03015648,14.66910562,15.26593249,15.33182924,14.42798802,
Switzerland,CHE,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.840457969,8.621854694,8.815899163,8.329266128,8.923299142,9.075202904,9.388654255,9.303400237,10.28817596,9.916114518,11.13998138,10.10873325,10.0667986,10.1222201,10.17951471,10.392796,10.47693345,10.25572497,11.00837843,10.69370431,10.72548191,10.62411262,10.4050041,10.54561668,10.28355177,10.88365213,10.60592692,11.31100688,10.95362692,11.10370575,10.64709914,11.46562693,10.50423584,
