"Country_Name","Country_Code","Year","Debt","GDP","GDP_Per_Capita","Revenue","Category","pandemic_year"
"Estonia","EST",2022,25.20109125,37.921480882,28114.1431760201,29.75690383,"Developed",0
"Ethiopia","ETH",2015,27.94312504,64.589328551,630.312619383054,9.943344344,"Developing",0
"Ethiopia","ETH",2016,29.00569007,74.296745208,705.617508543589,9.358219992,"Developing",0
"Ethiopia","ETH",2017,30.0951132,81.770886826,755.752644348666,9.444828163,"Developing",0
"Ethiopia","ETH",2018,32.5332185,84.269196626,758.29769449458,8.973363668,"Developing",0
"Ethiopia","ETH",2019,31.44884867,95.912607722,840.449601255171,7.7882248,"Developing",0
"Finland","FIN",2015,62.36346004,234.534,42801.9081167285,22.40130567,"Developed",0
"Finland","FIN",2016,62.76216221,240.771,43814.0265056965,22.6997306,"Developed",0
"Finland","FIN",2017,60.1932824,255.648,46412.1364777169,22.54165912,"Developed",0
"Finland","FIN",2018,60.26548218,275.708,49987.6261584968,22.706479,"Developed",0
"Finland","FIN",2019,60.53289863,268.515,48629.8582283032,22.64548191,"Developed",0
"Finland","FIN",2020,70.21105874,271.886,49169.7193388499,21.81710483,"Developed",1
"Finland","FIN",2021,66.21293844,296.47,53504.6936483441,22.59718188,"Developed",1
"Finland","FIN",2022,60.78703859,281.887,50734.7107480889,22.98878915,"Developed",0
"France","FRA",2015,97.98033326,2439.19,36652.9223052178,18.69127633,"Developed",0
"France","FRA",2016,102.2620449,2472.96,37062.5335723829,18.65662189,"Developed",0
"France","FRA",2017,102.2152651,2595.15,38781.0494870836,19.12240852,"Developed",0
"France","FRA",2018,101.6221344,2790.96,41557.8548588876,18.67735283,"Developed",0
"France","FRA",2019,104.9611611,2728.87,40494.8982936276,17.73940725,"Developed",0
"France","FRA",2020,123.1721712,2647.42,39179.7442596057,17.24505486,"Developed",1
"France","FRA",2021,116.8867735,2959.36,43671.3084099631,16.88073464,"Developed",1
"France","FRA",2022,98.66052415,2779.09,40886.2532680273,17.36846233,"Developed",0
"Micronesia, Fed. Sts.","FSM",2015,29.94314479,0.3164899,2891.32210264749,28.37381793,"Developing",0
"Micronesia, Fed. Sts.","FSM",2016,25.95939692,0.325,2956.56129178986,27.75054123,"Developing",0
"Micronesia, Fed. Sts.","FSM",2017,31.59722033,0.359,3250.9281898035,32.05898106,"Developing",0
"Micronesia, Fed. Sts.","FSM",2018,23.69796607,0.392,3533.79188489935,45.82094413,"Developing",0
"Micronesia, Fed. Sts.","FSM",2019,24.15144416,0.394,3537.47115704038,40.11577487,"Developing",0
"Micronesia, Fed. Sts.","FSM",2020,27.86301425,0.372,3318.28804881095,29.77609435,"Developing",1
"United Kingdom","GBR",2015,147.9494127,2927.91,44964.3911437292,33.06904273,"Developed",0
"United Kingdom","GBR",2016,156.6044652,2689.11,40985.2351382417,33.57380457,"Developed",0
"United Kingdom","GBR",2017,161.2700614,2680.15,40572.1214823783,33.97815683,"Developed",0
"United Kingdom","GBR",2018,158.1630662,2871.34,43203.8141057739,33.93066221,"Developed",0
"United Kingdom","GBR",2019,160.3221869,2851.41,42662.5353740311,33.48918785,"Developed",0
"United Kingdom","GBR",2020,196.6123934,2697.81,40217.0090116986,33.71477668,"Developed",1
"United Kingdom","GBR",2021,186.8521185,3141.51,46869.759058411,35.10355815,"Developed",1
"United Kingdom","GBR",2022,142.2830421,3088.84,45564.1569448013,36.77422135,"Developed",0
"Georgia","GEO",2015,36.00034734,15.223796149,4086.6223465965,27.15063101,"Developing",0
"Georgia","GEO",2016,39.47883895,15.444548902,4143.40125686315,27.83027385,"Developing",0
"Georgia","GEO",2017,38.84131592,16.473125375,4418.75206546679,28.03072085,"Developing",0
"Georgia","GEO",2018,38.2238727,17.902544881,4804.0546040444,25.40573897,"Developing",0
"Georgia","GEO",2019,44.7236858,17.638337117,4741.2832715876,26.10002815,"Developing",0
"Georgia","GEO",2020,65.19331579,16.010869216,4300.85701291207,24.60161883,"Developing",1
"Georgia","GEO",2021,54.72712601,18.853115589,5083.60695484577,24.85508201,"Developing",1
"Georgia","GEO",2022,42.96939336,24.98456896,6729.84659930283,26.48915729,"Developing",0
"Greece","GRC",2015,189.1815337,195.684,18083.8779056547,35.49492747,"Developed",0
"Greece","GRC",2016,194.6391093,193.148,17923.9668134716,37.01155046,"Developed",0
"Greece","GRC",2017,198.9571154,199.844,18582.0893411631,35.23844704,"Developed",0
"Greece","GRC",2018,208.851528,212.049,19756.990456255,35.34574595,"Developed",0
"Greece","GRC",2019,212.4539436,205.253,19143.8876174584,34.58625199,"Developed",0
"Greece","GRC",2020,253.2258907,188.48,17617.2915057014,34.94757509,"Developed",1
"Greece","GRC",2021,237.4925698,214.668,20310.6824798873,35.34372902,"Developed",1
"Greece","GRC",2022,203.2858092,217.581,20867.2690861087,36.27812267,"Developed",0
"Croatia","HRV",2015,95.5873962,51.011170112,12135.1036186683,28.15855867,"Developed",0
"Croatia","HRV",2016,93.09374885,52.740059263,12634.3195701712,28.55492505,"Developed",0
"Croatia","HRV",2017,86.56856784,56.322449844,13655.4798216229,28.76740581,"Developed",0
"Croatia","HRV",2018,83.31650544,61.861145806,15132.9554012394,27.98827833,"Developed",0
"Croatia","HRV",2019,81.15496216,61.867157679,15218.5258037621,29.30957514,"Developed",0
"Croatia","HRV",2020,98.00345845,58.221300898,14383.8695000306,28.79180154,"Developed",1
"Croatia","HRV",2021,90.32472896,69.602166351,17943.415126673,29.5304033,"Developed",1
"Croatia","HRV",2022,82.07979639,71.99707066,18673.1779905036,24.86021051,"Developed",0
"Hungary","HUN",2015,96.34196423,125.174,12717.038597002,27.09017414,"Developed",0
"Hungary","HUN",2016,96.75878469,128.61,13104.6995457458,27.20668892,"Developed",0
"Hungary","HUN",2017,91.95831053,143.112,14621.2395956755,27.5310544,"Developed",0
"Hungary","HUN",2018,86.50686812,160.566,16425.2050299693,26.47538553,"Developed",0
"Hungary","HUN",2019,83.29647866,164.02,16786.2136399075,26.72294912,"Developed",0
"Hungary","HUN",2020,95.86464083,157.289,16131.9540355923,27.11936449,"Developed",1
"Hungary","HUN",2021,86.85554203,182.11,18755.1023464312,25.70093816,"Developed",1
"Hungary","HUN",2022,75.46856455,177.006,18355.8278072065,28.31047718,"Developed",0
"Indonesia","IDN",2015,30.30912614,860.854,3322.58167895444,12.96669934,"Developing",0
"Indonesia","IDN",2016,31.36619071,931.877,3558.81885175737,12.47382327,"Developing",0
"Indonesia","IDN",2017,32.42906712,1015.62,3839.78507460491,12.17664757,"Developing",0
